"","plantingID","planting_name","planting_location_code","planting_date","planting_method","donor_site_code","subproj_code","activity_type","planting_geometry","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effective_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","notes"
"25","JSP_mid_BG2__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 2 - BG","JSP_mid_BG2",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"26","JSP_mid_C3__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 3 - C","JSP_mid_C3",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"27","JSP_mid_BG3__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 3 - BG","JSP_mid_BG3",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"28","JSP_mid_C4__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 4 - C","JSP_mid_C4",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"29","JSP_mid_BG4__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 4 - BG","JSP_mid_BG4",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"30","JSP_mid_AG3__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 3 - AG","JSP_mid_AG3",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"31","JSP_mid_AG4__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 4 - AG","JSP_mid_AG4",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"32","JSP_mid_south_2__2018-06-13__rebar__DPW","Joemma Beach State Park Mid South - PNNL - large - T4-5 - 2015","JSP_mid_south_2",2018-06-13,"rebar","DPW","dnr__DNR__unspecified","test","point",4,0.25,1,0.25,0.1,4,100,100,400,"4, 50 cm long rebar with 20 shoots attached to each placed between Transects 4 & 5 of JBSP Mid South - PNNL - large - 2015, approximately 15 m from southern end of transects. These planting are in addition to 2017 plantings between Transects 4 & 5."
"33","JSP_mid_south_1__2018-06-13__rebar__DPW","Joemma Beach State Park Mid South - PNNL - large - T3-4 - 2015","JSP_mid_south_1",2018-06-13,"rebar","DPW","dnr__DNR__unspecified","test","point",3,0.25,0.75,0.25,0.075,3,75,100,300,"3, 50 cm long rebar with 20 shoots attached to each placed between Transects 3 & 4 of JBSP Mid South - PNNL - large - 2015. These plantings are new and between transects 3 & 4."
"34","JSP_mid_4__2020-07-06__rebar__DMB","Joemma Beach State Park - Mid - test - 2020","JSP_mid_4",2020-07-06,"rebar","DMB","dnr__DNR__unspecified","test","point",8,0.5,4,1,0.3,12,240,60,240,"Planted 4, 0.25 m2 plots of 3 rebar each with Dumas Bay Zm just shoreward of the 2018 Rebar-Puck transplants."
"35","JSP_south_test__2021-06-25__rebar__DPW","Joemma Beach State Park - Mid - Rebar - 2021","JSP_south_test",2021-06-25,"rebar","DPW","dnr__DNR__unspecified","test","point",3.5,0.5,1.75,2.25,0.225,9,135,77.1428571428571,60,"Planted just south of Joemma Beach State Park South - SE - HC - large 1 - 2016."
"36","JSP_mid_connect__2022-06-17__rebar__DPW","Joemma Beach State Park - Mid - Rebar - 2022","JSP_mid_connect",2022-06-17,"rebar","DPW","dnr__DNR__unspecified","test","point",2.5,0.5,1.25,1.75,0.375,15,180,144,102.857142857143,"Planted north of Joemma Beach State Park - Mid - Rebar - 2021. 4 plots of 3 rebar to a small patch of Zm, then 1 plot of 3 rebar to connect with a patch of Zm from the Joemma Beach State Park South - SE - HC - large 1 - 2016 site for a total of 15 rebar over 5, 0.25 m2 plots."
"37","HC_off_2__2025-07-10__rebar__DPW","Joemma Beach State Park - Mid - offshore HC 2016 - Rebar - 2025","HC_off_2",2025-07-10,"rebar","DPW","dnr__DNR__unspecified","test","point",32,0.5,16,16,0.8,32,700,43.75,43.75,"planted 32, 50 cm long rebar with ~20 shoots from DuPont Wharf attached to each length. 1 rebar was planted at 0.5 m and then every 0.5 m thereafter to reach 16.5 m along a tape between a helical to the south with a donut toggle and another helical at PNNL 2015 deep."
"38","MCN_north__2015-02-26__staple__KTI","McNeil Island - north - PNNL - test - 2015","MCN_north",2015-02-26,"staple","KTI","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"None."
"39","OTB_1__2023-05-07__rebar__DPW","Otis Beach - Henderson Inlet - DNR - test 1 - 2023","OTB_1",2023-05-07,"rebar","DPW","unaffiliated__unspecified__unspecified","test","point",1.5,0.5,0.75,2.75,0.275,11,150,200,54.5454545454545,"planted 11 rebar. First 2 rebar were perpendicular to shore, then 3 rebar parallel to shore, then 3 rebar perpendicular to shore, then 3 rebar parallel to shore (=, 3 parallel, |||, 3 parallel)."
"40","QMH_4S__2021-05-14__rebar__DMB","Quartermaster Harbor - PNNL - Test Plot 4S - 2021","QMH_4S",2021-05-14,"rebar","DMB","kingco__KingCounty__unspecified","test","point",4.5,0.5,2.25,1.25,0.375,15,375,166.666666666667,300,"25 shoots per rebar because Dumas Bay shoots were small (~30 cm canopy height). Plots were placed shallower and a 0.5 m offset from DuPont Wharf shoots. 3rd plot east of light sensor included a base of sand (50# bag of play sand)"
"41","QMH_4S__2021-05-26__rebar__DPW_r1","Quartermaster Harbor - PNNL - Test Plot 4S - 2021","QMH_4S",2021-05-26,"rebar","DPW","kingco__KingCounty__unspecified","test","point",2.5,1,2.5,1.5,0.45,18,270,108,180,"15 shoots per rebar because DuPont Wharf shoots were large (~50 cm canopy height). Plots were placed along a trasect 2 meters south of the light sensor. The first plot of 3 rebar was planted at 5 m along the tape in a westerly direction. The second plot was at 6 m and the 3rd plot was at 7 m. 3 plots on one side of the tape (9 rebar total) and 3 plots on the other side of the tape (9 rebar). 360 shoots total."
"42","QMH_5a__2021-05-14__rebar__DMB","Quartermaster Harbor - PNNL - Test Plot 5a - 2021","QMH_5a",2021-05-14,"rebar","DMB","kingco__KingCounty__unspecified","test","point",2.5,0.5,1.25,0.75,0.225,9,180,144,240,"25 shoots per rebar because Dumas Bay shoots were small (~30 cm canopy height). 3 plots were planted alternate to the DuPont Wharf plots and shallower. KC Project (IAA 93-097520) Dockton test transplant site."
"43","QMH_4S__2021-05-26__rebar__DPW_r2","Quartermaster Harbor - PNNL - Test Plot 4S - 2021","QMH_4S",2021-05-26,"rebar","DPW","kingco__KingCounty__unspecified","test","point",2.5,1,2.5,4.5,0.45,18,360,144,80,"20 shoots per rebar as DuPont Wharf shoots were large (~50 cm canopy height). Transplant plots start at 5 m west of light sensor and were planted on either side of the tape at 5 m, 6 m, and 7 m (shallow - deep). 3 rebar with 20 shoots each placed deep and 3 rebar placed shallow to span from 5 m to 5.5 m, 6 m to 6.5 m, and 7 m to 7.5 m."
"44","SHB_1__2023-06-04__rebar__SHB","Shine Beach - Squamish Harbor - DNR - test 1 - 2023","SHB_1",2023-06-04,"rebar","SHB","unaffiliated__unspecified__unspecified","test","point",NA,NA,0,2.25,0.225,9,NA,NA,0,"Common Garden test transplant to fill bare areas on tidelands. Harvested eelgrass from Squamish Harbor, Shine Road, tidelands in front of Steve Dittmar's residence (30 Watney Lane, Port Ludlow, WA 98365), and transplanted eelgrass into bare areas on the tidelands at -0.9 m (MLLW)"
"45","ZAN_P1__2015-05-04__staple__THC","Zangle Cove - PNNL - large - 2015","ZAN_P1",2015-05-04,"staple","THC","zos_rest_ps__DNR__PNNL","large scale","polygon",55,30,1650,220,11.225,2245,8980,5.44242424242424,40.8181818181818,"See planting diagram"
