"","site_location","site_name","svmp_region","contract_dnr_number","planting_date.x","planted_area_m2.x","number_shoots.x","monitoring_org","monitoring_date","veg_presence","planting_method.x","shoot_count","veg_area_m2","shoot_density_m2","days_since_planted","survival","notes.x","notes2","plantingID","planting_location_code","planting_date.y","planting_method.y","donor_site_code","subproj_code","activity_type","planting_geometry","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2.y","effective_area_planted_m2","number_planting_units","number_shoots.y","plot_shoot_density_m2","planted_area_shoot_density_m2","notes.y","plt_date_match","plt_area_match","num_shoots_match","plt_method_match"
"32","Anderson Island","Anderson Island West - PNNL - test - 2016","CPS","93-099661",2016-09-20,"6.25",500,"PNNL",2017-04-11,"present","rebar",54,6,9,203,0.108,"there is eelgrass, it is healthy, the ones that are still here look good",NA,"AND_west2__2016-09-20__rebar__SPT","AND_west2",2016-09-20,"rebar","SPT","zos_rest_3_deltas__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"None.","match","no_match","match","match"
"33","Anderson Island","Anderson Island West - PNNL - test - 2016","CPS","93-099661",2016-09-20,"5",500,"PNNL",2019-04-16,"absent","rebar",0,NA,NA,938,0,"no eelgrass present",NA,"AND_west2__2016-09-20__rebar__SPT","AND_west2",2016-09-20,"rebar","SPT","zos_rest_3_deltas__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"None.","match","match","match","match"
"34","Anderson Island","Anderson Island West - PNNL - test - 2020","CPS","0",2020-07-01,"6.25",625,"PNNL",2021-04-21,"present","rebar",98,7.5,13.0666666666667,294,0.1568,"Y","Some ulva, site was hard to find and set a new waypoint, called A I W Real,  eelgrass 5cm all small","AND_west3__2020-07-01__rebar__THC","AND_west3",2020-07-01,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",3,2.5,7.5,6.25,0.625,25,625,83.3333333333333,100,"180deg az, sandy with little bit of ulva","match","match","match","match"
"35","Anderson Island","Anderson Island West - PNNL - test - 2020","CPS","0",2020-07-01,"6.25",625,"PNNL",2023-06-06,"absent","rebar",0,0,NA,1070,0,"No eelgrass present. Removed  2 helical anchors and PVC.",NA,"AND_west3__2020-07-01__rebar__THC","AND_west3",2020-07-01,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",3,2.5,7.5,6.25,0.625,25,625,83.3333333333333,100,"180deg az, sandy with little bit of ulva","match","match","match","match"
"36","Anderson Island","Anderson Island West - South - south - HC - test - 2017","CPS","SC 16-17",2017-05-05,"6",869,"HC",2017-07-17,"present","turf",69,6,11.5,73,0.0794016110471807,"Eelgrass dying. Site covered in thick ulva.",NA,"AND_south_L1__2017-05-05__turf__RKB","AND_south_L1",2017-05-05,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,0.87,87,869,86.9,144.833333333333,"Referred to as 'Anderson Island West 2' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 869/10 = 87.","match","match","match","match"
"37","Anderson Island","Anderson Island West - South - south - HC - test - 2017","CPS","SC 16-17",2017-05-05,"6",869,"DNR",2018-05-30,"absent","turf",0,0,NA,390,0,"Entire site covered with algae. Line still in place from test plot set up.",NA,"AND_south_L1__2017-05-05__turf__RKB","AND_south_L1",2017-05-05,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,0.87,87,869,86.9,144.833333333333,"Referred to as 'Anderson Island West 2' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 869/10 = 87.","match","match","match","match"
"38","Anderson Island","Anderson Island West - South - south - HC - test - 2017","CPS","SC 16-17",2017-05-05,"6",869,"DNR",2023-06-06,"absent","turf",0,0,NA,2223,0,"No eelgrass. Removed helical anchors and line.",NA,"AND_south_L1__2017-05-05__turf__RKB","AND_south_L1",2017-05-05,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,0.87,87,869,86.9,144.833333333333,"Referred to as 'Anderson Island West 2' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 869/10 = 87.","match","match","match","match"
"39","Anderson Island","Anderson Island - Carlson Bay SE - DNR - test 1 - 2023","DNR","test",2023-06-05,"0.75",150,"DNR",2024-05-09,"absent","rebar",0,0,NA,339,0,"No eelgrass.",NA,"AND_se1__2023-06-05__rebar__DPW","AND_se1",2023-06-05,"rebar","DPW","unaffiliated__unspecified__unspecified","test","point",1.5,0.5,0.75,2.25,0.225,9,150,200,66.6666666666667,"None.","match","no_match","match","match"
"40","Chico Bay","Chico Bay - PNNL - test - 2015","CPS","IAA 12-317.1",2015-02-18,"25",500,"DNR",2015-08-28,"absent","staple",0,NA,NA,191,0,"DNR snorkel monitoring",NA,"CHC__2015-02-18__staple__CPT","CHC",2015-02-18,"staple","CPT","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"None.","match","match","match","match"
"41","Commencement Bay","Commencement Bay - PNNL - large - 2018","CPS","93-094344",2018-06-26,"108.25",10825,"DNR",2018-07-16,"present","rebar",NA,NA,NA,NA,NA,"DNR monitoring from boat. Zm looked great.",NA,"COM_L1__2018-06-26__rebar__DMB","COM_L1",2018-06-26,"rebar","DMB","zos_rec_ps__USFWS__PNNL","large scale","line",19,10,190,108.25,10.825,433,10825,56.9736842105263,100,"Planting occurred near 2 test plots so planting was irregular to not overlap with the test plots. See planting diagram","match","match","match","match"
"42","Commencement Bay","Commencement Bay - PNNL - large - 2018","CPS","93-094344",2018-06-26,"108.25",10825,"PNNL",2019-04-17,"present","rebar",6949.5652173913,108,64.3478260869565,295,0.641992167888342,"PNNL diver surveyed 46, 0.25 m2 quadrats randomly throughout planted area to estimate average density m-2. Overall shoot count status calculated by average shoot density * original planted area (108 m2). Some pockets of ulva and small brown algae. Crabs present, but not many clams. Chain present through the middle of site, perpendicular to baseline; doesn't appear to have caused much damage. JV removed offshore. Eelgrass looks good, still in rows, some erosion could be from crab burrows.",NA,"COM_L1__2018-06-26__rebar__DMB","COM_L1",2018-06-26,"rebar","DMB","zos_rec_ps__USFWS__PNNL","large scale","line",19,10,190,108.25,10.825,433,10825,56.9736842105263,100,"Planting occurred near 2 test plots so planting was irregular to not overlap with the test plots. See planting diagram","match","match","match","match"
"43","Commencement Bay","Commencement Bay - PNNL - large - 2018","CPS","93-094344",2018-06-26,"rebar",190,"PNNL",2020-05-15,"present","rebar",10170,108.25,93.9491916859122,689,53.5263157894737,"PNNL divers surveyed 48 0.25 m2 quadrats along the rebar planted transects and calculated density based on shoots counted divided by surveyed area. Applied calculated density to the entire planted area to estimated number of shoots survived.",NA,"COM_L1__2018-06-26__rebar__DMB","COM_L1",2018-06-26,"rebar","DMB","zos_rec_ps__USFWS__PNNL","large scale","line",19,10,190,108.25,10.825,433,10825,56.9736842105263,100,"Planting occurred near 2 test plots so planting was irregular to not overlap with the test plots. See planting diagram","match","no_match","no_match","match"
"44","Commencement Bay","Commencement Bay - PNNL - large - 2019","CPS","93-099661",2019-06-09,"rebar",270,"PNNL",2020-05-15,"present","rebar",14892,164,90.8048780487805,341,55.1555555555556,"PNNL divers surveyed 67 0.25 m2 quadrats along the rebar planted transects and calculated density based on shoots counted divided by surveyed area. Applied calculated density to the entire planted area to estimated number of shoots survived.",NA,"COM_L2__2019-06-09__rebar__DMB","COM_L2",2019-06-09,"rebar","DMB","zos_rec_ps__USACE__PNNL","large scale","line",27,10,270,164,16.4,656,16400,60.7407407407407,100,"planted 5m on each side of baseline, 10m total width, starting @1m planted 4 rows 0.5m apart, skip 1.5m, repeat. Exceptions: 1 row planted inshore at 3m, offshore rows 8.5m-17.5m 2.5m long, 10m offshore row = 50shoots/rebar, 10.5m-11.5m offshore row = 35shoots/rebar. 300 extra shoots not included in total (column AD)","match","no_match","no_match","match"
"45","Commencement Bay","Commencement Bay - PNNL - Test Plot deep - 2017","CPS","93-094344",2017-08-31,"6.25",500,"PNNL",2018-03-08,"present","rebar",478,6.25,76.48,189,0.956,"No screw anchors present, but clearly our plot because rows present. 4 rows of 5 rebar. Plants growing away from rebar. Site looks great! Deeper end 20' at 1057.",NA,"COM_deep__2017-08-31__rebar__CPT","COM_deep",2017-08-31,"rebar","CPT","zos_rec_ps__USFWS__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"None.","match","no_match","match","match"
"46","Commencement Bay","Commencement Bay - PNNL - Test Plot shallow - 2017","CPS","93-094344",2017-08-31,"6.25",500,"PNNL",2018-03-08,"present","rebar",632,6.25,101.12,189,1.264,"Great survival! 4 rows of 5 rebar. Good spread and sediment is compact",NA,"COM_shallow__2017-08-31__rebar__CPT","COM_shallow",2017-08-31,"rebar","CPT","zos_rec_ps__USFWS__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"None.","match","no_match","match","match"
"47","Delano Beach","Delano Beach - PNNL - test - 2015","CPS","IAA 12-317.1",2015-02-26,"25",500,"DNR",2015-07-30,"present","staple",NA,NA,NA,154,NA,"Zm present. Looked good and definitely expanding/growing. Photos in Delano Beach folder.",NA,"DEL_1__2015-02-26__staple__KTI","DEL_1",2015-02-26,"staple","KTI","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot and just south","match","match","match","match"
